Date,Open,High,Low,Close,Adj Close,Volume
24-Jan-18,250.88,261.71,249.31,261.3,261.3,"17,352,400"
23-Jan-18,255.05,257.71,248.02,250.29,250.29,"27,705,300"
22-Jan-18,222,227.79,221.2,227.58,227.58,"17,703,300"
19-Jan-18,222.75,223.49,218.5,220.46,220.46,"10,548,600"
18-Jan-18,220.34,220.58,216.55,220.33,220.33,"8,225,300"
17-Jan-18,221,221.15,216.32,217.5,217.5,"9,123,100"
16-Jan-18,224.24,226.07,217.2,221.53,221.53,"13,516,100"
12-Jan-18,217.18,222.55,216,221.23,221.23,"8,199,400"
11-Jan-18,214.29,217.75,213.35,217.24,217.24,"7,659,500"
10-Jan-18,207.57,213.64,206.91,212.52,212.52,"5,951,500"
9-Jan-18,212.11,212.98,208.59,209.31,209.31,"6,125,900"
8-Jan-18,210.02,212.5,208.44,212.05,212.05,"5,580,200"
5-Jan-18,207.25,210.02,205.59,209.99,209.99,"7,033,200"
4-Jan-18,206.2,207.05,204,205.63,205.63,"6,029,600"
3-Jan-18,202.05,206.21,201.5,205.05,205.05,"8,591,400"
2-Jan-18,196.1,201.65,195.42,201.07,201.07,"10,966,900"
